probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0.054,8,0,100,74.22442873508645,223.10938418616865,60.88323977748035,15,1.5000000000000002,0.3782337259714586,117,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,51,12,5,4,3
0,10,100,0,68.4863625140212,230.37664319622,61.21158866880414,0,0,0,117,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,78,11,5,4,3
0.054,10,100,100,74.11460430502291,227.40436912464412,57.55806505689889,7,0.7,0.40938151329255984,117,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,62,14,5,4,3
0.054,10,0,0,70.9476727753593,226.142352923949,61.12895537592928,13,1.3,0.4908536417483316,118,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,65,17,5,4,3
0.054,9,0,100,69.6881169078297,252.12836743016976,36.8967597147398,9,0.8999999999999999,0.42981768719243546,118,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,55,12,5,4,3
0.054,5,100,0,68.65807059782401,246.7214637300525,42.83631423687172,14,1.4,0.4305555555555561,118,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,51,9,5,4,3
0,12,100,100,70.13668777768902,210.3878602497536,79.5143921660829,0,0,0,118,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,84,17,5,4,3
0,8,0,0,74.96113189191027,224.19465256713443,60.893197532776696,0,0,0,119,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,73,12,5,4,3
0.054,10,0,100,70.9262881293771,232.6867429906993,54.93833948909246,12,1.2,0.37962962962962993,119,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,43,15,5,4,3
0.054,11,100,0,70.0274470943373,227.09905905308443,61.360215186498145,13,1.3,0.33815569703862336,119,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,60,13,5,4,3
0.054,7,100,100,71.47118630608807,219.2907217237312,67.41008767262736,15,1.5000000000000002,0.45600682723638175,119,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,56,13,5,4,3
0.054,14,0,0,72.81382015394205,243.0126735741874,43.07446739459676,7,0.7,0.4027777777777782,11,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,47,21,5,4,3
0,7,0,100,72.94700444663538,220.3580840144173,66.96360007573088,0,0,0,11,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,89,14,5,4,3
0.054,6,100,0,70.46137320533896,233.13032073890884,54.521485247287615,15,1.5000000000000002,0.4055462025298459,11,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,56,12,5,4,3
0.054,9,100,100,66.82318156542995,254.94271213960673,36.85108857627341,11,1.1,0.44482991259576543,11,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,53,11,5,4,3
0,8,0,0,66.72935090158174,214.1792604235095,79.30786797510062,0,0,0,120,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,94,9,5,4,3
0.054,11,0,100,72.03903509009105,255.88247538398704,29.678094556089334,21,2.1000000000000005,0.4946325020072505,120,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,30,15,5,4,3
0.054,7,100,0,67.69253464752825,229.9239883193052,61.209712592584395,9,0.8999999999999999,0.3240740740740741,120,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,59,7,5,4,3
0.054,10,100,100,69.10324557259906,228.32615921134848,61.35464581107163,8,0.7999999999999999,0.4177101701130382,120,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,53,12,5,4,3
0,9,0,0,66.86743395978954,234.04500251192235,59.15985144536196,0,0,0,121,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,81,12,5,4,3
0.054,8,0,100,70.01578472534946,233.1762417086823,54.95891599705634,15,1.5000000000000002,0.4199003926381255,121,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,57,10,5,4,3
