probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,num_males,num_mar
0,7,1500,500,68.72673078792602,236.55248017368072,54.877649388129626,0,0,0,104,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,0,0,70.19235609539867,271.43965075872654,18.459512890290128,0,0,0,105,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,10,0,500,75.13913894921116,234.524299419726,50.41451920798703,0,0,0,105,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,17,500,0,70.01564730087382,238.33017747572845,49.21857385908894,7,0.7,1.7506346527307752,105,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,8,500,500,69.70711673281973,238.30536950386363,48.86941591805039,14,1.4,1.7448658241025627,105,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,7,1000,0,69.11046232644742,229.98216223887368,60.923136620371515,0,0,0,105,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,7,1000,500,71.52340566516108,236.27476669374488,48.87526456068789,16,1.6000000000000003,1.904576355042647,105,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,1500,0,68.83384093258856,242.44441820373711,48.807922349073195,0,0,0,105,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,7,1500,500,73.18307309688333,258.0437606650062,23.713947633136023,21,2.1000000000000005,3.0026348271226824,105,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,13,0,0,70.664273162690165,259.03159078945447,30.333279145139596,0,0,0,106,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,13,0,500,72.61846011852482,250.9881656471532,36.50257816515478,0,0,0,106,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,6,500,0,71.44767317960934,239.73651167582585,48.97302242522427,0,0,0,106,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,12,500,500,69.64622514147864,286.9279007255904,0,13,1.3,2.2886587427103904,106,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,6,1000,0,74.16270184618647,234.28335122301445,48.87903790923827,7,0.7,2.149465561709486,106,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,3,1000,500,67.5377552440357,231.4239569487416,61.22714949023547,0,0,0,106,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,3,1500,0,71.37285078246605,254.6512206842204,30.73771475227771,15,1.5000000000000002,1.8758115243222937,106,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,16,1500,500,74.30234346053011,251.53784904492983,30.72834928553471,12,1.2,2.2830420601381847,106,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,7,0,0,73.09931784910798,244.27472248931701,42.736703741794585,0,0,0,107,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,11,0,500,72.11094985963844,235.8472607944428,48.8461136227866,11,1.1,2.1319340961335445,107,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,9,500,0,68.52626998789276,239.03449793236987,48.8204354717065,15,1.5000000000000002,2.2192142982659453,107,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,7,500,500,74.59266103358742,224.7685166451724,60.8092736461395,0,0,0,107,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,9,1000,0,68.02767279877614,235.4649024701676,52.00281211072239,21,2.1000000000000005,2.410016166023338,107,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,12,1000,500,68.76138536237481,248.2938269046595,43.18885820985573,0,0,0,107,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,1500,0,70.02762768686539,222.5693857659673,67.42500543264964,0,0,0,107,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,9,1500,500,71.80040510052801,260.34793240464484,24.34828318611885,17,1.7000000000000004,1.889523541619664,107,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,0,0,70.10170273839337,237.6796080760865,48.79875152086861,14,1.4,2.1624961611475317,108,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,10,0,500,70.91253773674238,221.82609552128892,67.30553921541804,0,0,0,108,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,6,500,0,70.25156103609785,256.3330996585797,29.907315093406332,13,1.3,2.4100161660233383,108,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,9,500,500,74.03301702951256,233.12817039950912,48.75556368236863,18,1.8000000000000005,2.4130020503865772,108,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,9,1000,0,72.168537121083,239.13595214098368,48.809114281723446,0,0,0,108,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,9,1000,500,68.75280959391792,254.58648946480977,36.675621162772856,0,0,0,108,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,1500,0,68.83453331554358,217.537009465612,73.64067699730609,0,0,0,108,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,11,1500,500,68.67514308342528,256.62203791926447,30.54096558420135,18,1.8000000000000005,2.412849904330571,108,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,11,0,0,70.45977977874031,240.49886436585655,49.12172083401844,0,0,0,109,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,14,0,500,69.69068553220949,268.8615727405509,18.143315426835397,12,1.2,2.2069952231501953,109,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,7,500,0,74.84265471640109,245.6268603076728,36.587860180210306,9,0.8999999999999999,2.159053838616271,109,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,7,500,500,67.98775048294091,249.5596267261148,42.62349830778544,0,0,0,109,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,12,1000,0,67.6101288396148,234.49508190387633,54.33530766258989,16,1.6000000000000003,1.98196398815625,109,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,5,1000,500,69.54970483008798,241.9496140104991,48.66142821814779,0,0,0,109,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,1500,0,68.70815475432246,250.70610214490836,36.64923654515174,14,1.4,2.602463122018357,109,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,6,1500,500,70.84927928321329,270.8751690211097,18.36495777274994,0,0,0,109,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,11,0,0,71.05506777630097,260.7530449964939,24.571288665230433,14,1.4,2.299892107854802,10,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,12,0,500,67.85614237126784,257.267215952155,30.57380716947802,19,1.9000000000000008,2.4642556509887923,10,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,500,0,73.72876938346222,201.0175175250824,85.39851260299652,0,0,0,10,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,9,500,500,72.20248712411643,203.5367615172814,84.35308585122459,0,0,0,10,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,1000,0,73.17574685674417,265.76825545181515,18.238735683892543,14,1.4,1.7041862103784724,10,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,1000,500,74.73278791522637,238.82721471547657,42.96784593256459,17,1.7000000000000004,1.9741729455430987,10,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,5,1500,0,71.07435517803751,239.96381340497183,48.97452087280601,0,0,0,10,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,7,1500,500,72.33313406332036,232.8027009309648,55.09041602469337,0,0,0,10,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,7,0,0,71.1500049821739,239.7480864555081,49.13309237502917,0,0,0,110,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
