probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0.054,12,100,0,97.1582767666498,260.88851914983616,0,19,1.9000000000000008,0.44444444444444503,130,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,16,7.5,2,1
0.054,15,0,0,91.43992420611588,266.3748550541311,0,18,1.8000000000000005,0.4675925925925933,131,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,19,7.5,2,1
0,2,100,0,92.53857794768122,162.3465541347796,105.1634323287324,0,0,0,131,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,101,13,7.5,2,1
0,2,0,0,99.3567702182071,156.7927288278445,103.9113263549257,0,0,0,132,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,70,13,7.5,2,1
0.054,16,100,0,97.59108306171954,260.52574451735046,0,17,1.7000000000000004,0.3240740740740741,132,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,21,7.5,2,1
0.054,12,0,0,101.52199551326176,256.8356268901074,0,14,1.4,0.3750000000000003,133,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,13,7.5,2,1
0,6,100,0,95.78780397295512,178.72110961714574,85.65224791375819,0,0,0,133,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,81,14,7.5,2,1
0.054,13,0,0,96.92664110706308,261.6342791186309,0,11,1.1,0.4305555555555561,134,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,19,7.5,2,1
0,5,100,0,97.92284702511654,196.5147790509064,65.69639923148141,0,0,0,134,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,93,14,7.5,2,1
0.054,12,0,0,91.63156187794031,266.535648728728,0,15,1.5000000000000002,0.3472222222222224,135,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,17,7.5,2,1
0,6,100,0,97.60604345732204,170.98278138395415,91.47890031766256,0,0,0,135,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,75,12,7.5,2,1
0.054,14,0,0,97.85887185345445,260.33392322908094,0,15,1.5000000000000002,0.351851851851852,136,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,17,7.5,2,1
